TIME,LATITUDE,LONGITUDE,TRACK_OID,WIND_SPD,MEAN_WIND_10_PERCENTILE,PRESSURE_CENTRAL,CATEGORY,GALE_RADIUS,NE_GALE_RADIUS,SE_GALE_RADIUS,SW_GALE_RADIUS,NW_GALE_RADIUS,UNCERTAINTY,TYPE,DISTURBANCE_OID,BASE_TIME,IDENTIFIER,NAME,FTAU,LAT,LON,maxWind,SEASON,35_knots
28/7/2022 12:00,-9.8,94.5,658141,25,35,1000,0,,,,,,30,Official Forecast Track,4011,28/7/2022 12:00,AU202223_01U,noname,0,-10.2,94.4,35,202223,TRUE
28/7/2022 18:00,-10.26507,94.61872,658141,30,45,999,0,,,,,,49,Official Forecast Track,4011,28/7/2022 12:00,AU202223_01U,noname,6,-10.4,94.6,35,202223,TRUE
28/7/2022 18:00,-10.2,94.7,658361,30,45,998,0,,,,,,30,Official Forecast Track,4011,28/7/2022 18:00,AU202223_01U,noname,0,-10.4,94.6,35,202223,TRUE
29/7/2022 0:00,-10.64118,94.70628,658361,35,55,996,0,,,100,120,,50,Official Forecast Track,4011,28/7/2022 18:00,AU202223_01U,noname,6,-11,94.9,40,202223,TRUE
29/7/2022 0:00,-10.8,94.6,658521,30,60,998,0,,,,,,30,Official Forecast Track,4011,29/7/2022 0:00,AU202223_01U,noname,0,-11,94.9,40,202223,TRUE
29/7/2022 0:00,-10.70625,94.625,658141,35,55,996,0,,,120,120,,63,Official Forecast Track,4011,28/7/2022 12:00,AU202223_01U,noname,12,-11,94.9,40,202223,TRUE
29/7/2022 6:00,-11.01492,94.54254,658361,40,60,996,0,,,100,120,,60,Official Forecast Track,4011,28/7/2022 18:00,AU202223_01U,noname,12,-11.7,94.7,45,202223,TRUE
29/7/2022 6:00,-11.10222,94.61612,658521,35,50,995,0,,,,120,,47,Official Forecast Track,4011,29/7/2022 0:00,AU202223_01U,noname,6,-11.7,94.7,45,202223,TRUE
29/7/2022 6:00,-11.5,94.7,658821,40,60,996,0,,,,90,90,30,Official Forecast Track,4011,29/7/2022 6:00,AU202223_01U,noname,0,-11.7,94.7,45,202223,TRUE
29/7/2022 6:00,-11.07998,94.46127,658141,40,60,996,0,,,120,120,,72,Official Forecast Track,4011,28/7/2022 12:00,AU202223_01U,noname,18,-11.7,94.7,45,202223,TRUE
29/7/2022 12:00,-11.37734,94.40576,658521,40,65,992,0,,,100,120,,58,Official Forecast Track,4011,29/7/2022 0:00,AU202223_01U,noname,12,-12.2,94.5,45,202223,TRUE
29/7/2022 12:00,-11.32745,94.26252,658361,40,65,996,0,,,100,120,,67,Official Forecast Track,4011,28/7/2022 18:00,AU202223_01U,noname,18,-12.2,94.5,45,202223,TRUE
29/7/2022 12:00,-12.1,94.3,659091,40,65,994,0,,,90,100,,30,Official Forecast Track,4011,29/7/2022 12:00,AU202223_01U,noname,0,-12.2,94.5,45,202223,TRUE
29/7/2022 12:00,-11.81505,94.46319,658821,40,65,995,0,,,,100,90,47,Official Forecast Track,4011,29/7/2022 6:00,AU202223_01U,noname,6,-12.2,94.5,45,202223,TRUE
29/7/2022 12:00,-11.39252,94.18124,658141,40,65,996,0,,,120,120,,81,Official Forecast Track,4011,28/7/2022 12:00,AU202223_01U,noname,24,-12.2,94.5,45,202223,TRUE
29/7/2022 18:00,-11.64123,93.88748,658141,40,65,996,0,,,120,120,,89,Official Forecast Track,4011,28/7/2022 12:00,AU202223_01U,noname,30,-12.7,94.2,40,202223,TRUE
29/7/2022 18:00,-11.57617,93.96876,658361,40,65,996,0,,,100,120,,67,Official Forecast Track,4011,28/7/2022 18:00,AU202223_01U,noname,24,-12.7,94.2,40,202223,TRUE
29/7/2022 18:00,-12.11513,94.03246,658821,40,65,994,0,,,90,100,,59,Official Forecast Track,4011,29/7/2022 6:00,AU202223_01U,noname,12,-12.7,94.2,40,202223,TRUE
29/7/2022 18:00,-12.40008,93.86927,659091,40,65,994,0,,,90,100,,47,Official Forecast Track,4011,29/7/2022 12:00,AU202223_01U,noname,6,-12.7,94.2,40,202223,TRUE
